"
  June 20, 2017 12:02 p.m. ET
",Forget Trump-Generated Volatility. The World Is Awash in Calm,Steven Russolillo,https://wsj.com/articles/forget-trump-generated-volatility-the-world-is-awash-in-calm-1497974566,"HONG KONG—Investors had hoped the U.S. presidential election would usher in a new bout of market volatility. Instead, calm not only has persisted, but has spread. Based on one commonly used measure, Asian equities are near their least volatile this century. In Europe, large price swings in eurozone stocks have largely subsided. And in the U.S., Wall Street’s “fear gauge,” known as the VIX, has been trading near historic lows for much...
  "
"
  June 18, 2017 3:30 p.m. ET
",Why Some of the Worst Cyberattacks in Health Care Go Unreported,Melanie Evans,https://wsj.com/articles/why-some-of-the-worst-cyberattacks-in-health-care-go-unreported-1497814241,"A cyberattack last year paralyzed MedStar Health computers, forcing the Maryland operator of 10 hospitals and more than 300 outpatient centers to shut down its entire electronic-record system. Doctors logged patient details with pen and paper. Laboratory staff faced delays delivering test results. “It was three weeks before we got most of everything that was important to us on a daily basis back and operational,” Craig DeAtley,...
  "
"
  June 16, 2017 4:09 p.m. ET
","Goodbye, Yellow Brick Road",,https://wsj.com/articles/goodbye-yellow-brick-road-1497643771," It’s no work at all to make modern money. Since the start of the 2008 financial crisis, the world’s central bankers have materialized the equivalent of $12.25 trillion. Just tap, tap, tap on a computer keypad. “One Nation Under Gold” is a brief against the kind of money you have to dig out of the ground. And you do have to dig. The value of all the gold that’s ever been mined (and which mostly still exists in the form of baubles,...
  "
"
  June 12, 2017 6:40 p.m. ET
",The Dark Web’s Dark Prince,,https://wsj.com/articles/the-dark-webs-dark-prince-1497307220,"A young man moves to San Francisco. He has a startup that’s growing fast. He is fond of meditation and likes to quote libertarian theories to anyone who will listen. He is worth many millions of dollars but dresses casually. He tells himself and those who work for him that, although the money is pouring in, their work is not about the money—it’s about changing the world. What they’re building isn’t a business, he says. It’s a revolution. This description could apply to any number of Silicon Valley executives. It also...
  "
"
  June 8, 2017 1:31 p.m. ET
",Drug Gangs Open an Online Chinese Connection for Opioids,Zolan Kanno-Youngs & Jeanne Whalen,https://wsj.com/articles/drug-gangs-open-an-online-chinese-connection-for-opioids-1496943112,"New York City gang members are increasingly bypassing their usual sources for drugs and buying powerful illicit opioids directly from China online, according to investigators, who say the trend poses tough new challenges for law enforcement trying to crack down on the addiction epidemic. The latest clue came in a package seized after a search warrant was executed in November, investigators say. It contained a kilogram of the opioid...
  "
"
  June 7, 2017 6:48 a.m. ET
",The 10-Point.,Gerard Baker,https://wsj.com/articles/the-10-point-1496832485,"Good morning,  Assailants have struck Iran’s Parliament complex in Tehran and the shrine of Ayatollah Ruhollah Khomeini near the city, killing at least seven people and wounding more than 30. Islamic State claimed responsibility for what would be the Sunni Muslim terrorist group’s first attack in Shiite-majority Iran.  Attorney General Jeff Sessions offered to resign in recent weeks,...
  "
"
  Updated June 6, 2017 8:21 p.m. ET
","Bitcoin Drives to a New High, but Is It Headed for a Crash? ",Paul Vigna,https://wsj.com/articles/bitcoin-drives-to-a-new-high-but-is-it-headed-for-a-crash-1496771053,"Bitcoin, the digital currency, hit a record of $2,967 early Tuesday after having roughly tripled this year. Given bitcoin’s history of volatility, a tumble at some point seems inevitable.  The currency’s backers don’t necessarily disagree. They just...
  "
"
  June 6, 2017 8:05 p.m. ET
","Spring Rally in Stocks, Bonds, Gold and Bitcoin Unnerves Investors ",Min Zeng & Ben Eisen,https://wsj.com/articles/spring-rally-in-stocks-bonds-gold-and-bitcoin-unnerves-investors-1496793931,"Stocks, bonds, gold and bitcoin—assets that rarely move in unison—have all been surging this spring, an everything rally that leaves investors confounded about how to play the plodding U.S. expansion and vulnerable to sharp reversals in fortune.  Major U.S. stock indexes have soared to records this month, reflecting some investors’ confidence in the continued U.S. economic recovery along with expectations that large technology firms will accrue further market-share gains. At the same time prices of bonds, which often...
  "
"
  June 6, 2017 7:30 a.m. ET
",One Market Gauge Is Signaling Fed Should Continue to Tighten Policy ,Min Zeng,https://wsj.com/articles/one-market-gauge-is-signaling-fed-should-continue-to-tighten-policy-1496748604,"A key measure that tracks stress in U.S. money markets tumbled to near its lowest level in seven years—a sign of loose financial conditions that could prompt the Federal Reserve to maintain its pace of tightening monetary policy. The three-month dollar Libor-OIS spread—the difference between the rate at which banks lend to each other and the market’s expectations of central bank rates—fell below 0.1 percentage point on Monday. It was 0.0998 percentage point, the lowest since August 2015, according to Steven Zeng, interest...
  "
"
  Updated June 5, 2017 7:25 a.m. ET
",China Exchanges Resume Allowing Bitcoin Withdrawals,Chao Deng,https://wsj.com/articles/china-bitcoin-exchanges-allowing-withdrawals-again-1496658845,"BEIJING—Bitcoin exchanges in China are again allowing withdrawals of the virtual currency, having upgraded their systems in response to heightened government scrutiny.  It ends a three-month moratorium that began shortly after regulators launched an investigation into the exchanges and as they threatened to shut down ones that skirt the rules. Authorities were concerned bitcoin could be used to bet on a decline in the Chinese yuan,...
  "
"
  Updated June 4, 2017 9:19 p.m. ET
","Now Managing This Guy’s Money: 400,000 Strangers on the Internet",Ben Eisen,https://wsj.com/articles/now-managing-this-guys-money-400-000-strangers-on-the-internet-1496603592,"On Tuesday morning, Mike Roberts, a 26-year-old software engineer from Seattle, handed over a personal $50,000 brokerage account to a most unusual group of money managers.  A bunch of random yahoos on the internet.  People say the stock market is just a game, and in the case of Mr. Roberts and his hard-earned cash, it really is. By...
  "
"
      Updated June 2, 2017 12:27 p.m. ET
    ",Take My Bitcoin...Please! A Comedian Mines the Currency for Laughs,,https://wsj.com/articles/take-my-bitcoin-please-a-comedian-mines-the-currency-for-laughs-1496412860,
"
  June 2, 2017 7:30 a.m. ET
",Bitcoin Firm Coinbase Seeks New Funds at $1 Billion Valuation,Tomio Geron,https://wsj.com/articles/bitcoin-firm-coinbase-seeks-new-funds-at-1-billion-valuation-1496403001,"Interest in bitcoin has been skyrocketing again as the price of the digital currency has hit new highs. That only helps bitcoin startups in the eyes of investors.  One of these startups, Coinbase Inc., is in talks with potential investors on a new round of funding at a valuation of more than $1 billion, according to people familiar with the matter.  It is unclear which investors are committing to the round, which was described...
  "
"
  Updated May 31, 2017 2:33 p.m. ET
",Court Upholds Life Sentence for Silk Road Drug Mastermind   ,Nicole Hong,https://wsj.com/articles/court-upholds-conviction-sentence-for-silk-road-drug-mastermind-1496249158,"A federal appeals court Wednesday affirmed the conviction and life sentence of Ross Ulbricht, the mastermind behind Silk Road, an online drug bazaar that was once described by the government as the most sophisticated criminal marketplace on the internet. In a 139-page ruling, a three-judge panel of the Second U.S. Circuit Court of Appeals in Manhattan upheld a lower court’s decision to sentence Mr. Ulbricht, now 33 years old, to life...
  "
"
  Updated May 26, 2017 5:45 p.m. ET
",Behind Bitcoin’s Wild Ride: the Japan Factor ,Paul Vigna,https://wsj.com/articles/behind-bitcoins-wild-ride-the-japan-factor-1495808061,"Bitcoin fever has hit Japan, and it’s helping the virtual currency go parabolic.  Despite a volatile week in which the virtual currency fell $400 in a few hours Thursday but still rose on the day, bitcoin has kept streaking to fresh highs. It was up 15% for the week and is up 110% since the end of March. Friday afternoon, it traded at $2,268, down from its all-time peak of $2,792 set Thursday. One of the leading causes: new...
  "
